genus	Zymo_6323_ONT	PRMT_FM1_FR_MONT_20240807_bc25_D6323	PRMT_FM2_FR_MONT_20240807_bc26_D6323	PRMT_FM3_FR_MONT_20240807_bc27_D6323	PRMT_FO1_FR_ONT_20240807_bc10_D6323	PRMT_FO2_FR_ONT_20240807_bc11_D6323	PRMT_FO3_FR_ONT_20240807_bc12_D6323	PRMT_FP1_FR_PB_20240807_bc40_D6323	PRMT_FP2_FR_PB_20240807_bc41_D6323	PRMT_FP3_FR_PB_20240807_bc42_D6323
Absiella	0	0	0	0	0	15.1268178628962	0	0	0	0
Abyssivirga	0	39.6663451203962	45.2660533074192	37.226025195215	43.1817455302241	73.4607578721587	65.8248243672518	26.568155714457	24.6783692129783	24.4533439414359
Acetanaerobacterium	0	0	14.2770794418147	11.1709167724163	0	18.4226288786322	19.875247056575	0	0	0
Acetivibrio	0	86.7314150606423	102.109445655416	64.9460850840131	105.762663576205	131.429771495264	108.624427192982	56.9446156335896	63.9599843384566	56.1495150785515
Acetobacter	45999	0	0	0	0	0	0	0	0	0
Acholeplasma	0	83.9412463213214	97.7771707767621	54.0726338501543	185.694905176873	232.131923234336	225.106488959181	91.4765537240311	93.1791017571968	59.0322298974481
Acidaminobacter	0	0	0	0	0	16.4556247766174	22.3111341841285	0	0	0
Acinetobacter	17838	0	0	0	0	0	0	0	0	0
Actinomyces	4275	0	0	0	0	0	0	0	0	0
Acutalibacter	0	29.8704344708362	25.5242425228918	31.3066195365277	63.262711901209	74.2852120338436	95.1795994252884	0	15.4229775434725	25.2993969637022
Adlercreutzia	26973	127.360160950517	143.230194672112	65.0876136291836	59.0384128374968	84.0471611245645	79.3003411879156	90.2192936538661	89.17291062416	66.1498737260335
Aestuariispira	0	26.0982141569969	23.5392106253958	18.5045653786093	23.3356848809659	20.2265348499402	20.1891511003577	0	0	0
Agathobacter	0	36.6678422288748	52.7955697821647	31.9944202343319	27.8937330684541	43.3546043137958	52.1350116442533	22.3369767792455	37.0737758352279	25.3301742749554
Agathobaculum	130023	2006.36603226818	2588.18827899931	1710.87740212835	3138.2252889494	4193.62916729252	4423.2179913363	1184.07429879929	1184.3966126282	1214.53386987179
Akkermansia	338859	906.091493938431	1069.97991745565	720.011194544762	386.274998114366	546.338797617728	517.273943206076	481.930350407285	399.772950331993	409.893143655453
Alistipes	745560	904.564845441419	1055.96492631134	825.117122924282	736.555187052318	892.528538422842	910.478207870846	713.546006340961	639.235945643639	579.26219322771
Alkalibaculum	0	27.2438765680927	42.739780653805	18.0232227839898	30.088152010923	50.2982119153744	63.523708783685	28.0883689759227	13.3303670873762	22.4364396869217
Alkaliphilus	0	108.321411258982	166.686538056981	96.1471358514649	181.253826897866	268.691490622938	247.058428542084	84.2614220246994	63.944275405984	75.9893187718411
Amedibacillus	0	82.2427196747756	78.3329471094459	63.6315452143335	144.015264705137	151.783278072182	157.349447218019	98.3996319170412	101.735980358632	64.5072074270433
Aminiphilus	0	14.016791321413	0	11.0147957842907	0	17.075688698745	19.0049282655136	0	13.0251838454033	0
Aminipila	0	77.0595791993053	115.305300585913	81.9221807252327	148.760098444179	184.396932789473	170.385111653259	50.6262576801522	55.8382321093435	51.2926569596943
Anaerobacterium	0	34.8895874366057	49.0522383816681	28.0119683342194	55.3203036452461	75.3431087874616	75.6595751189615	20.3927992349982	0	22.4399893883793
Anaerobium	0	167.035669109288	165.990907010007	123.944301141455	223.349239557879	271.143077746204	313.151781349683	96.2092260677015	89.5519083849202	116.328426503165
Anaerobutyricum	185814	5179.82879357476	6674.87757981358	4406.53534875054	7269.84395539781	9745.71981131025	10923.2811256007	3759.97974608467	3623.75097729837	3927.61743182786
Anaerocolumna	0	208.137266921572	251.669876046173	157.14515200672	192.143723592211	262.858628443866	253.822282307199	154.862614339075	149.96237436566	143.842825069999
Anaerofilum	0	0	20.7523762678855	0	19.3872488673402	21.3960173465717	35.4281340026158	0	11.9058350575914	0
Anaerofustis	0	11.0132785044328	0	0	14.0099867677813	0	0	0	0	0
Anaeromassilibacillus	52317	2211.31695205784	2812.05894508298	1920.2269609497	3784.12687929999	5102.65221443443	5483.2369411637	1269.70304546829	1202.95850715114	1407.8748654523
Anaerosporomusa	0	0	0	0	21.4191187087613	24.1770007752006	27.7935557667339	0	0	0
Anaerostipes	312507	9537.95725883692	12120.4579946268	7789.9457455275	14193.6610571049	18624.8551329207	20623.2428521757	5798.95784887346	5656.06214985472	5959.46771739317
Anaerotaenia	0	128.113283849554	193.429552671128	101.251317831731	175.269141618492	257.790863698077	269.945290116727	96.369042623222	119.873579932179	92.1006781603426
Anaerotignum	22068	476.049618674791	593.624148558972	373.414956069189	746.492696311778	1105.03481729052	1084.15415685882	290.408462905726	301.12431663331	304.959989877133
Anaerotruncus	24885	330.975046816768	446.393143361145	282.266626208876	620.955094456501	708.268169400724	853.751760968782	198.006119188045	183.506385444882	192.151061062971
Anaerovibrio	0	0	0	0	14.337926281183	23.1145464375673	0	0	0	0
Anaerovorax	0	84.7472527301067	132.442735374471	62.6963488708927	114.780162656818	153.608501680346	153.061159718601	61.5352517459325	49.6013664779675	53.4772203247134
Asaccharobacter	48726	11.8457506012385	0	0	0	0	0	0	0	0
Azospirillum	0	43.0518618695415	60.0930416472234	49.0703440701944	48.047148862564	37.0536364532105	0	0	0	0
Bacillus	0	293.731617440743	221.203226755427	238.476170355419	126.29719809082	221.15401128438	311.169134253228	218.528026717829	53.0676918142387	187.408354841994
Bacteroides	5594940	4725.33165705282	5702.86679298522	3765.56516146132	3856.29594576198	5149.28034315147	5146.73562445583	3514.4563302795	3355.13432837852	2890.94673304321
Bariatricus	0	135.077871969682	163.488452995875	99.6350662639373	190.142017518518	265.863245581653	285.238228125049	77.7374457606251	74.1568191835981	89.4866002512076
Barnesiella	79218	199.201569252435	270.264394469268	156.209831556943	168.119739529098	204.264928635893	190.093502545269	136.263051258609	153.296394488208	136.296986641847
Bifidobacterium	173439	2120.01906906317	2495.79375977262	1624.74545898782	53.7687155613273	57.1211821821384	64.5047428999611	1585.09458509585	1669.8796480925	1363.33912374926
Bilophila	39807	0	0	0	0	0	0	0	0	0
Bittarella	6525	0	0	0	0	0	0	0	0	0
Blautia	1871757	47380.2753053831	62376.2190181577	39059.6898600612	72193.1338320053	97959.1622443289	105930.367307299	28833.43293892	28770.1264396259	30148.2358164749
Brevundimonas	0	21.3658355020891	28.8855150053671	0	23.630733608486	26.4841644545173	43.372303300638	0	0	0
Breznakia	0	0	0	0	0	0	24.0126329048467	0	0	0
Butyricicoccus	6174	567.086140799759	612.469667880396	414.22902354098	699.759100128234	936.980184553987	1143.07843995747	275.696820471836	288.869941480957	294.022066724558
Butyricimonas	57366	84.1013104155195	108.101298130646	59.07935920665	60.0427822370635	102.098418727221	102.05799899066	64.7212745890675	69.133668102525	59.1288397503026
Butyrivibrio	0	303.358814423396	339.604337004442	221.281396613195	418.377552019165	575.99805949399	607.464411913793	226.976640738546	207.275396835143	222.841836805458
Caecibacterium	0	82.7391146611589	89.4311756110418	62.5740327595346	96.7628643949727	122.395251478171	142.238731449508	40.6874898967774	48.8387636469395	51.2412021756333
Caldicoprobacter	0	15.0885034074216	15.5036276214895	18.3732210977405	22.1352441942736	25.2595503404527	29.2853014164375	0	0	0
Caloramator	0	20.3103219233348	22.7844930571428	0	15.7494424312426	26.4367542635309	48.315853551143	0	0	0
Caloranaerobacter	0	28.9664950873242	32.0089833855933	20.0182733067827	47.2642689268321	78.7979219445471	60.6338776799832	12.9212087206767	19.0370833741895	0
Candidatus Cibiobacter	114894	0	0	0	0	0	0	0	0	0
Candidatus Stoquefichus	3213	0	0	0	0	0	0	0	0	0
Caproiciproducens	0	1066.31201892108	1279.29314293976	850.949059226268	1646.66174264304	2176.25197308744	2463.86897848886	664.55577409689	558.349140185036	613.681617312477
Casaltella	0	16.9890214483454	29.7008628681906	0	25.1686659455588	31.2650783269486	22.1235078910248	0	0	0
Catabacter	6885	373.332751410829	443.151908924876	356.592316100786	739.461925237466	903.250261196283	964.257712219479	219.091041506105	214.482196208088	213.893851322368
Cellulosilyticum	0	15.2226230867632	12.5455785014155	0	0	0	0	0	13.0353670374379	0
Christensenella	0	4115.54507159648	5068.08988334807	3317.93497416187	6673.81953986867	8632.17345199352	9475.606441271	2354.80184950943	2135.86462267419	2363.32915654641
Clostridioides	0	84.0543206334011	59.1588665218046	71.4802657473571	48.9987520039884	92.8837472334461	102.062789503451	36.0515600810757	20.6501992947368	57.0540830815902
Clostridium	1509894	1742.77500583586	2134.78649791599	1346.08350681049	2984.60155297964	3827.18322922159	4256.49710522625	1215.41282130273	1094.26189294191	1072.92856954092
Colidextribacter	0	469.631731781921	608.312825980186	364.153241091811	625.375368514235	815.353721550781	875.964399604051	273.754379920957	239.772040493371	231.33046500006
Collinsella	219375	1243.71895066867	1651.93527744162	683.918244995119	146.110110544086	175.257680760644	154.481489326954	508.929458137138	541.046483422518	468.01831748352
Coprobacter	0	22.0565134945431	17.9996057432923	14.0192981694141	17.0072153778241	0	20.0177703236233	13.0251446056023	0	0
Coprococcus	248490	3264.20284953662	4388.49552059314	2670.30188405835	4937.6214506352	6397.0665541671	6994.76374147582	1940.35476386267	1997.16716080659	2066.71315052706
Cryptobacterium	3420	0	0	0	0	0	0	0	0	0
Cuneatibacter	0	6008.53507295639	7646.75749976818	4844.01847423138	3530.07638342755	4393.63869091197	4922.25638605879	4128.61054960288	4231.25488116786	4502.69313613044
Defluviitalea	0	0	0	0	0	0	13.0357934611957	0	0	0
Dehalobacter	0	0	31.6904591780631	15.0656245655672	31.7603218405919	33.2680665437361	30.2108562427622	0	0	0
Dehalobacterium	0	37.479339224095	51.7514038374217	40.3330060416817	54.1378110661726	82.773615435035	82.8985183174902	30.0582151063105	30.3704802448084	18.0424031248591
Desulfitobacterium	0	0	0	0	12.4480393579757	0	21.9142378096575	0	0	0
Desulfobotulus	0	0	0	0	19.4550975977484	0	21.7366379985444	0	0	0
Desulfonema	0	0	0	0	0	0	15.4536228534669	0	0	0
Desulfonispora	0	40.6414720003223	66.5082126891403	41.4721743766933	58.450492342647	83.9499507015557	79.3329849786266	33.9802569492028	31.4771709537008	29.8575320113255
Desulfosalsimonas	0	0	31.9637895663812	0	34.8849900570738	45.5805447036408	24.2142458896505	14.4334631323076	0	0
Desulfovibrio	18477	83.0625636337511	143.677632256901	63.0530191384743	38.0270839384258	39.9810948449043	53.0280949079494	64.1237888275805	74.1433541969109	50.1091862653729
Dialister	43335	365.440215787323	480.440000354268	342.826898090637	633.451161395356	865.411694845359	975.47971785017	204.394576887913	171.347661158682	215.420257817677
Dorea	371007	6681.31946685627	8770.75275948265	5400.83283034071	9779.81676318835	13482.2618891386	14215.1227713073	3879.63394306767	3846.471584952	4026.70279472698
Drancourtella	0	17.9634164114721	24.064208548987	11.0783291266857	31.6819311099761	48.7912700948385	45.0667922347786	10.5381787083826	0	13.9849058308279
Duodenibacillus	0	80.096485652265	128.992114788443	79.106260632633	74.0527419183902	97.057828813901	103.054576724584	117.226301450421	86.1311438573893	77.1681468486742
Dysosmobacter	68031	3504.55214834702	4281.81269336533	2883.85364442759	5641.96530098824	7347.69067379548	7762.30286275995	1975.71136106853	1891.59385372838	2049.88817397841
Eggerthella	43101	0	25.0283314916693	0	0	0	0	0	14.0284783853999	0
Eisenbergiella	42615	1186.69703874852	1433.07610722494	936.386032912379	1619.64833078979	2099.00525272186	2282.85164177778	691.684626523743	659.317743410166	733.298721908324
Emergencia	0	205.282591783363	283.131373764282	209.79544637951	256.695660339834	350.810828837411	348.751994166046	158.247427948512	131.904805824551	131.145319730415
Enorma	11727	39.0423066512082	50.0474715864349	18.0242112900266	0	0	0	0	13.0251838454033	20.0436745061492
Enterobacter	0	0	0	0	23.7921880694301	23.9969610697673	35.7400004566025	0	0	0
Enterocloster	0	2455.44155480929	3218.31946962849	1937.66218073984	3962.35494089507	4921.82309035476	5658.55529372043	1509.66720288333	1415.12105628683	1441.72032922271
Enterococcus	0	149.892021824363	115.114277133514	125.345277061206	61.0434740452392	101.328694035656	150.788540453529	125.319920412832	24.0464932530522	95.2086887569816
Ercella	0	42.2619139854865	62.68989525231	40.6754370727238	66.661680037185	104.950485019557	131.245661179815	23.5288591205165	31.5497781491693	36.8184159910106
Erysipelatoclostridium	8307	39.9803387255363	61.0971265437408	30.8505565190331	115.077442301837	165.321060304203	142.910139638937	64.0938345267107	58.2340137104857	43.5807288915521
Escherichia	16848	265.924812520848	507.160990883628	217.240026257832	283.671977698333	413.61883989606	467.1135896313	214.631511298231	61.6461452107032	162.103959238966
Ethanoligenens	0	16.7354691554337	0	0	26.180855426418	32.2738150817151	25.7979415853324	0	0	0
Eubacterium	791154	6626.0628441315	9106.51560572055	5594.67268593648	10837.4194775286	14819.8361611613	15224.2036969741	4053.35981417243	4164.84137377477	4258.97878718968
Evtepia	20970	0	0	0	0	0	0	0	0	0
Extibacter	0	0	0	0	11.1120892558403	15.610170884272	16.2479501013821	0	0	0
Faecalibacterium	2453427	40619.6061206915	50441.7636948247	33860.2780423865	66543.0549293478	87431.1231301488	95587.574836267	24077.2020873404	22071.17055862	24126.9046950883
Faecalicatena	6696	2585.61655660869	3399.40076450949	2026.10165575629	3631.72917898007	4920.89014319272	5365.87884471267	1589.44904780353	1568.36421230952	1593.88358307954
Faecalicoccus	0	47.9435487966782	39.3268989504587	36.5029619155817	110.929406235237	121.61786535476	83.3234788576061	74.6312625850455	61.7982323408747	68.0114213826435
Faecalimonas	0	2103.51391039885	2687.77162797289	1630.33594877503	3149.69780880495	4320.31694495017	4502.75888187235	1238.364666399	1253.64050964932	1293.84845124997
Faecalitalea	0	0	25.5669648289859	0	15.1750112248839	23.7267883999161	22.2020247092206	22.3477381426739	13.1847757522664	0
Falcatimonas	0	356.818335671582	460.214968047937	309.026169527319	575.320988352407	788.044957033689	834.751712710271	304.119860819205	314.603266761297	276.844788722404
Flavonifractor	21906	590.561788173426	715.488762824605	522.763398842224	944.747210323698	1189.53000269056	1327.69996359885	381.685338430815	354.747754390311	377.203790637555
Flintibacter	0	1030.26263232493	1257.07463925186	821.054036423774	1454.52194849559	2001.35434389273	2106.43738300982	600.907338979276	586.946219111786	588.339472813808
Fournierella	0	77.741804538672	90.4983005153514	60.5328693636375	89.0944235139976	139.016605607484	151.52395274579	41.2569295947376	33.3678565741276	48.6338483198456
Frisingicoccus	9000	1160.10058955389	1498.84832296636	950.302536221412	1799.17247591522	2391.57190316654	2600.54447869606	786.411023946785	778.529622200739	837.716226914044
Fusicatenibacter	810396	14497.9142589363	18258.6676101054	11720.3614313936	21883.353919118	28740.5072156349	31396.7752062976	8419.16111143177	8375.28609919262	8501.75555288571
Fusobacterium	0	54.0651281381693	29.026583354737	26.034971853778	21.0154775261501	32.0190775468539	43.0227844445828	19.036749808188	0	17.0371233302268
Gabonia	3402	10.0205195812734	0	0	10.0120284731627	0	0	0	0	0
Gemmiger	219420	14676.4246248927	18712.8970925684	12297.4508883816	24201.2071766941	31943.9671517103	34865.4373509353	8590.14954610522	8036.43793923679	8615.50459472183
Geosporobacter	0	18.7336268362152	20.0649438871599	20.0791244064033	41.5875905010732	55.9279682979409	48.0145530275531	0	0	0
Gloeobacter	0	0	0	0	14.1892131882266	13.9788906062282	19.479697332796	0	0	0
Gordonibacter	8298	0	0	0	0	0	0	0	0	0
Gottschalkia	0	22.3056876145752	16.0373227603858	0	34.9843141697078	58.0567912182591	45.5393653273039	20.7650915833431	0	0
Gracilibacter	0	20.9316889240411	27.6497612694059	21.1913572883322	36.0146189360143	47.6676795808278	66.0196163171018	13.8120988002924	15.1491573443343	24.9268243173585
Haemophilus	0	0	0	0	31.0221009093008	47.0280201469417	56.0296727650381	0	0	0
Harryflintia	0	110.450167407685	111.91466303271	93.3138773601601	188.132604554858	248.288888592414	230.705731384039	71.1684990641833	63.2540735926018	46.8248551185131
